Time,Port Aileron,Starboard Aileron,Port Flap,Starboard Flap,Elevator,Rudder,Roll,Pitch,Yaw
1732897845.514805,0,0,0,0,0,21,,,
1732897845.567322,0,0,0,0,0,21,,,
1732897845.620167,0,0,0,0,0,21,,,
1732897845.6726642,0,0,0,0,0,21,,,
1732897845.7252018,0,0,0,0,0,21,,,
1732897845.777807,0,0,0,0,0,21,,,
1732897845.829746,0,0,0,0,0,21,,,
1732897845.88253,0,0,0,0,0,21,,,
1732897845.935157,0,0,0,0,0,21,,,
1732897845.987417,0,0,0,0,0,21,,,
1732897846.0391119,0,0,0,0,0,21,,,
1732897846.091906,0,0,0,0,0,21,,,
1732897846.1441522,0,0,0,0,0,21,,,
1732897846.19689,0,0,0,0,0,21,,,
1732897846.249086,0,0,0,0,0,21,,,
1732897846.301892,0,0,0,0,0,21,,,
1732897846.3545978,0,0,0,0,0,21,,,
1732897846.407478,0,0,0,0,0,21,,,
1732897846.460184,0,0,0,0,0,21,,,
1732897846.512647,0,0,0,0,0,21,,,
1732897846.5649102,0,0,0,0,0,21,,,
1732897846.61776,0,0,0,0,0,21,,,
1732897846.66946,0,0,0,0,0,21,,,
1732897846.7220852,0,0,0,0,0,21,,,
1732897846.774732,0,0,0,0,0,21,,,
1732897846.8274481,0,0,0,0,0,21,,,
1732897846.880034,0,0,0,0,0,21,,,
1732897846.932765,0,0,0,0,0,21,,,
1732897846.985255,0,0,0,0,0,21,,,
1732897847.037911,0,0,0,0,0,21,,,
1732897847.089843,0,0,0,0,0,21,,,
1732897847.141518,0,0,0,0,0,21,,,
1732897847.19312,0,0,0,0,0,21,,,
1732897847.244544,0,0,0,0,0,21,,,
1732897847.296715,0,0,0,0,0,21,,,
1732897847.349045,0,0,0,0,0,21,,,
1732897847.401429,0,0,0,0,0,21,,,
1732897847.4532878,0,0,0,0,0,21,,,
1732897847.505551,0,0,0,0,0,21,,,
1732897847.557888,0,0,0,0,0,21,,,
1732897847.610262,0,0,0,0,0,21,,,
1732897847.662525,0,0,0,0,0,21,,,
1732897847.7147279,0,0,0,0,0,21,,,
1732897847.767016,0,0,0,0,0,21,,,
1732897847.819278,0,0,0,0,0,21,,,
1732897847.871225,0,0,0,0,0,21,,,
1732897847.9235,0,0,0,0,0,21,,,
1732897847.975893,0,0,0,0,0,21,,,
1732897848.028245,0,0,0,0,0,21,,,
1732897848.080437,0,0,0,0,0,21,,,
1732897848.132708,0,0,0,0,0,21,,,
1732897848.184926,0,0,0,0,0,21,,,
1732897848.237221,0,0,0,0,0,21,,,
1732897848.288438,0,0,0,0,0,21,,,
1732897848.3405728,0,0,0,0,0,21,,,
1732897848.3928761,0,0,0,0,0,21,,,
1732897848.44524,0,0,0,0,0,21,,,
1732897848.4975429,0,0,0,0,0,21,,,
1732897848.549783,0,0,0,0,0,21,,,
1732897848.602154,0,0,0,0,0,21,,,
1732897848.654049,0,0,0,0,0,21,,,
1732897848.706347,0,0,0,0,0,21,,,
1732897848.758207,0,0,0,0,0,21,,,
1732897848.810642,0,0,0,0,0,21,,,
1732897848.8624809,0,0,0,0,0,21,,,
1732897848.9147992,0,0,0,0,0,21,,,
1732897848.967136,0,0,0,0,0,21,,,
1732897849.019559,0,0,0,0,0,21,,,
1732897849.071796,0,0,0,0,0,21,,,
1732897849.124083,0,0,0,0,0,21,,,
1732897849.1763399,0,0,0,0,0,21,,,
1732897849.22867,0,0,0,0,0,21,,,
1732897849.28091,0,0,0,0,0,21,,,
1732897849.33305,0,0,0,0,0,21,,,
1732897849.38516,0,0,0,0,0,21,,,
1732897849.4374359,0,0,0,0,0,21,,,
1732897849.489502,0,0,0,0,0,21,,,
1732897849.5417888,0,0,0,0,0,21,,,
1732897849.5941188,0,0,0,0,0,21,,,
1732897849.64644,0,0,0,0,0,21,,,
1732897849.698421,0,0,0,0,0,21,,,
1732897849.7506208,0,0,0,0,0,21,,,
1732897849.802846,0,0,0,0,0,21,,,
1732897849.855134,0,0,0,0,0,21,,,
1732897849.9070258,0,0,0,0,0,21,,,
1732897849.959334,0,0,0,0,0,21,,,
1732897850.011729,0,0,0,0,0,21,,,
1732897850.062878,0,0,0,0,0,21,,,
1732897850.1151302,0,0,0,0,0,21,,,
1732897850.16752,0,0,0,0,0,21,,,
1732897850.219861,0,0,0,0,0,21,,,
1732897850.271901,0,0,0,0,0,21,,,
1732897850.324252,0,0,0,0,0,21,,,
1732897850.376605,0,0,0,0,0,21,,,
1732897850.428969,0,0,0,0,0,21,,,
1732897850.48132,0,0,0,0,0,21,,,
1732897850.533706,0,0,0,0,0,21,,,
1732897850.5849721,0,0,0,0,0,21,,,
1732897850.637378,0,0,0,0,0,21,,,
1732897850.689732,0,0,0,0,0,21,,,
1732897850.742141,0,0,0,0,0,21,,,
1732897850.7944698,0,0,0,0,0,21,,,
1732897850.846855,0,0,0,0,0,21,,,
1732897850.899275,0,0,0,0,0,21,,,
1732897850.951954,0,0,0,0,0,21,,,
1732897851.004085,0,0,0,0,0,21,,,
1732897851.056318,0,0,0,0,0,21,,,
1732897851.108546,0,0,0,0,0,21,,,
1732897851.1608121,0,0,0,0,0,21,,,
1732897851.212964,0,0,0,0,0,21,,,
1732897851.264377,0,0,0,0,0,21,,,
1732897851.316399,0,0,0,0,0,21,,,
1732897851.3685791,0,0,0,0,0,21,,,
1732897851.419876,0,0,0,0,0,21,,,
1732897851.471,0,0,0,0,0,21,,,
1732897851.5232189,0,0,0,0,0,21,,,
1732897851.575495,0,0,0,0,0,21,,,
1732897851.627797,0,0,0,0,0,21,,,
1732897851.679938,0,0,0,0,0,21,,,
1732897851.732167,0,0,0,0,0,21,,,
1732897851.7842638,0,0,0,0,0,21,,,
1732897851.8355432,0,0,0,0,0,21,,,
1732897851.887444,0,0,0,0,0,21,,,
1732897851.939619,0,0,0,0,0,21,,,
1732897851.991599,0,0,0,0,0,21,,,
1732897852.043843,0,0,0,0,0,21,,,
1732897852.095798,0,0,0,0,0,21,,,
1732897852.1479301,0,0,0,0,0,21,,,
1732897852.2000031,0,0,0,0,0,21,,,
1732897852.2521799,0,0,0,0,0,21,,,
1732897852.304209,0,0,0,0,0,21,,,
1732897852.356071,0,0,0,0,0,21,,,
1732897852.408074,0,0,0,0,0,21,,,
1732897852.459595,0,0,0,0,0,21,,,
1732897852.511481,0,0,0,0,0,21,,,
1732897852.563732,0,0,0,0,0,21,,,
1732897852.615996,0,0,0,0,0,21,,,
1732897852.668136,0,0,0,0,0,21,,,
1732897852.720033,0,0,0,0,0,21,,,
1732897852.771806,0,0,0,0,0,21,,,
1732897852.824003,0,0,0,0,0,21,,,
1732897852.876204,0,0,0,0,0,21,,,
1732897852.927534,0,0,0,0,0,21,,,
1732897852.979715,0,0,0,0,0,21,,,
1732897853.0318751,0,0,0,0,0,21,,,
1732897853.083363,0,0,0,0,0,21,,,
1732897853.135516,0,0,0,0,0,21,,,
1732897853.187648,0,0,0,0,0,21,,,
1732897853.2398221,0,0,0,0,0,21,,,
1732897853.291893,0,0,0,0,0,21,,,
1732897853.344099,0,0,0,0,0,21,,,
1732897853.395755,0,0,0,0,0,21,,,
1732897853.4478972,0,0,0,0,0,21,,,
1732897853.499784,0,0,0,0,0,21,,,
1732897853.5520372,0,0,0,0,0,21,,,
1732897853.6042,0,0,0,0,0,21,,,
1732897853.656404,0,0,0,0,0,21,,,
1732897853.70842,0,0,0,0,0,21,,,
1732897853.760607,0,0,0,0,0,21,,,
1732897853.812774,0,0,0,0,0,21,,,
1732897853.86495,0,0,0,0,0,21,,,
1732897853.9169862,0,0,0,0,0,21,,,
1732897853.9691808,0,0,0,0,0,21,,,
1732897854.021376,0,0,0,0,0,21,,,
1732897854.0734851,0,0,0,0,0,21,,,
1732897854.125705,0,0,0,0,0,21,,,
1732897854.177908,0,0,0,0,0,21,,,
1732897854.230138,0,0,0,0,0,21,,,
1732897854.282217,0,0,0,0,0,21,,,
1732897854.334208,0,0,0,0,0,21,,,
1732897854.3864052,0,0,0,0,0,21,,,
1732897854.438425,0,0,0,0,0,21,,,
1732897854.489274,0,0,0,0,0,21,,,
1732897854.541336,0,0,0,0,0,21,,,
1732897854.5935118,0,0,0,0,0,21,,,
1732897854.6457028,0,0,0,0,0,21,,,
1732897854.697758,0,0,0,0,0,21,,,
1732897854.749768,0,0,0,0,0,21,,,
